pub_date	title	venue	excerpt	citation	url_slug	paper_url
2021-01-01	Modeling Contingency Management in Unmanned Aircraft Systems Traffic Management	Proceedings of the 21st Symposium on Aviation Psychology	"No abstract"	"Emily Barrett and Martijn IJtsma (2021). Modeling Contingency Management in Unmanned Aircraft Systems Traffic Management. In Proceedings of the 21st Symposium on Aviation Psychology"	pub1	https://corescholar.libraries.wright.edu/cgi/viewcontent.cgi?article=1008&context=isap_2021
2020-1-01	An Experimental Refinement of Computational Models of Human-Robot Teams	AIAA Scitech 2020 Forum	"No abstract"	"Lanssie Ma and Sean C. Ye and Martijn IJtsma and Karen M. Feigh and Amy Pritchett (2020). An Experimental Refinement of Computational Models of Human-Robot Teams. In AIAA Scitech 2020 Forum"	pub2	https://arc.aiaa.org/doi/10.2514/6.2020-1650
2019-12-01	Computational Methodology for the Allocation of Work and Interaction in Human-Robot Teams	Journal of Cognitive Engineering and Decision Making	"This paper presents a three-phase computational methodology for making informed design decisions when determining the allocation of work and the interaction modes for human-robot teams. The methodology highlights the necessity to consider constraints and dependencies in the work and the work environment as a basis for team design, particularly those dependencies that arise within the dynamics of the team’s collective activities. These constraints and dependencies form natural clusters in the team’s work, which drive the team’s performance and behavior. The proposed methodology employs network visualization and computational simulation of work models to identify dependencies resulting from the interplay of taskwork distributed between teammates, teamwork, and the work environment. Results from these analyses provide insight into not only team efficiency and performance, but also quantified measures of required teamwork, communication, and physical interaction. The paper describes each phase of the methodology in detail and demonstrates each phase with a case study examining the allocation of work in a human-robot team for space operations."	"Martijn IJtsma and Lanssie M. Ma and Amy R. Pritchett and Karen M. Feigh (2019). Computational Methodology for the Allocation of Work and Interaction in Human-Robot Teams. In Journal of Cognitive Engineering and Decision Making"	pub3	http://journals.sagepub.com/doi/10.1177/1555343419869484
2019-01-01	Computational Simulation of Adaptation of Work Strategies in Human-Robot Teams	Undefined	"No abstract"	"Martijn IJtsma (2019). Computational Simulation of Adaptation of Work Strategies in Human-Robot Teams. In Undefined"	pub4	 
2019-3-01	An Integrated System for Mixed-Initiative Planning of Manned Spaceflight Operations	2019 IEEE Aerospace Conference	"Manned spaceflight in outer/deeper space will require crew operations that are independent of ground support. This requires the crew to re-plan day-to-day activities, particularly in the case of unforeseen circumstances. To support these planning duties, we are developing a mixed-initiative planning tool that optimizes schedules in collaboration with astronauts. This paper highlights the tool's planning algorithm. The planning algorithm has two closely-coupled components: first, an optimization algorithm (optimizer) based on local search heuristics and, secondly, a computational model of the work that is to be performed. In this framework, the optimizer acts as a surrogate model of the more detailed computational models, such that new solutions can be efficiently explored. The computational work model is capable of simulating a plan through time, and can account for dynamic interactions between activities and work environment that are not modeled in the optimizer. Moreover, the computational model returns to the optimizer metrics that reflect required teamwork to coordinate activities between astronauts. The paper includes a description of the optimizer and computational simulation models as well as a case study with activities, agents and resources that are representative of a typical manned mission."	"Martijn IJtsma and William Lassiter and Karen M. Feigh and Martin Savelsbergh and Amy R. Pritchett (2019). An Integrated System for Mixed-Initiative Planning of Manned Spaceflight Operations. In 2019 IEEE Aerospace Conference"	pub5	https://ieeexplore.ieee.org/document/8741566/
2019-01-01	Simulating Human-Robot Teamwork Dynamics for Evaluation of Work Strategies in Human-Robot Teams	International Symposium on Aviation Psychology	"No abstract"	"Martijn IJtsma and Sean Ye and Karen Feigh and Amy Pritchett (2019). Simulating Human-Robot Teamwork Dynamics for Evaluation of Work Strategies in Human-Robot Teams. In International Symposium on Aviation Psychology"	pub6	https://corescholar.libraries.wright.edu/isap_2019/18
2019-01-01	Analysis of Work Dynamics for Objective Function Allocation in Manned Spaceflight Operations	Advances in Aviation Psychology	"No abstract"	"Martijn IJtsma and Lanssie M Ma and Karen M Feigh and Amy R Pritchett (2019). Analysis of Work Dynamics for Objective Function Allocation in Manned Spaceflight Operations. In Advances in Aviation Psychology"	pub7	https://www.taylorfrancis.com/chapters/edit/10.4324/9780429492181-5/analysis-work-dynamics-objective-function-allocation-manned-spaceflight-operations-martijn-ijtsma-lanssie-ma-karen-feigh-amy-pritchett
2019-01-01	Analysis of Work Dynamics for Objective Function Allocation in Manned Spaceflight Operations	Advances in Aviation Psychology	"No abstract"	"Martijn IJtsma and Lanssie M Ma and Karen M Feigh and Amy R Pritchett (2019). Analysis of Work Dynamics for Objective Function Allocation in Manned Spaceflight Operations. In Advances in Aviation Psychology"	pub8	 
2018-01-01	Technologies for Mixed-Initiative Plan Management for Human Space Flight	The 28th International Conference on Automated Planning and Scheduling	"No abstract"	"Melissa Baltrusaitis and Karen M Feigh and Martijn Ijtsma and Amy Pritchett and William Lassiter and Martin Savelsbergh (2018). Technologies for Mixed-Initiative Plan Management for Human Space Flight. In The 28th International Conference on Automated Planning and Scheduling"	pub9	 
2018-3-01	Modelling and evaluating failures in human-robot teaming using simulation	2018 IEEE Aerospace Conference	"No abstract"	"Lanssie M. Ma and Martijn IJtsma and Karen M. Feigh and Abhinay Paladugu and Amy R. Pritchett (2018). Modelling and evaluating failures in human-robot teaming using simulation. In 2018 IEEE Aerospace Conference"	pub10	https://ieeexplore.ieee.org/document/8396581/
