pub_date	title	venue	excerpt	citation	url_slug	paper_url
2021-01-01	A Critical Examination of Autonomous Flight Safety Systems from a Cognitive Systems Engineering Perspective: Challenges, Themes, and Outlying Risks	Proceedings of the 72nd International Astronautical Congress (IAC)	"Flight safety systems (FSS) act as a method to terminate off-nominal rocket launches which threaten public safety. Traditional FSS delegate decision authority to an experienced Mission Flight Control Officer (MFCO) tasked with flight termination decisions, observing multiple points of telemetry data in real time to ensure nominal flight status. This study examines the engineering trade-offs, complexities, and pitfalls introduced by automating this key safety task through autonomous flight safety systems (AFSS). We approach this problem from a cognitive systems engineering perspective, connecting aspects of AFSS to existing literature in human-machine teaming and resilience engineering. Based on information gathered from a series of semi-structured interviews performed with various subject matter experts (mission controllers, regulators, engineers, amongst others) and existing literature, we outline a list of four assumptions underlying AFSS operations: [1] The system is fully autonomous, [2] An exhaustive flight safety analysis has been performed [3] The system will be able to respond appropriately to the world, and [4] MFCO expertise can be captured in (or translated to) software. Our findings highlight that, while the benefits of AFSS hold great promise for increasing the viability of commercial space operations, the automation of an irreversible, instantaneous, and complex decision-making task brings with it significant challenges and risks. We propose directions for further research to minimize the likelihood of errant, expensive, and dangerous flight terminations by an automated agent."	"Jacob Keller and Martijn Ijtsma and Elizabeth K Newton (2021). A Critical Examination of Autonomous Flight Safety Systems from a Cognitive Systems Engineering Perspective: Challenges, Themes, and Outlying Risks. In Proceedings of the 72nd International Astronautical Congress (IAC)"	pub1	 
2018-9-01	Demonstration of the “Work Models that Compute” Simulation Framework for Objective Function Allocation	Proceedings of the Human Factors and Ergonomics Society Annual Meeting	"This document describes a demonstration of the computational simulation framework Work Models that Compute (WMC). WMC is a framework for the objective evaluation of function allocation between humans and robots. The WMC framework has been used to study the impact of function allocation on both the air traffic management and spacecraft operations work domains. Recent advances include modeling of human-robot control modes, locomotion, failures and physical resources. We propose a demonstration of WMC showcasing how WMC can provide useful, objective and quantitative insight in the trade-offs asso-ciated with function allocation. In the demonstration, we will analyze function allocation for an on-orbit maintenance scenario. We will first show how minor changes to a function allocations can have major ef-fects on the emergent work patterns that result from the simulation framework. Second, we will demon-strate an analysis of 10-15 possible function allocations (defined in advance) and cross-compare their char-acteristics based on measures such as the idle time, taskload for each agent, information transfer require-ments, physical resources exchanges and others. This will show the framework’s capability to rapidly ex-plore the function allocation trade-space and allow the designer to make more informed trade-offs."	"Martijn IJtsma and Lanssie M. Ma and Karen M. Feigh and Amy R. Pritchett (2018). Demonstration of the “Work Models that Compute” Simulation Framework for Objective Function Allocation. In Proceedings of the Human Factors and Ergonomics Society Annual Meeting"	pub2	https://doi.org/10.1177/1541931218621074
2021-9-01	Modeling the Effects of Machine Rigidities on Joint Work Strategies	Proceedings of the Human Factors and Ergonomics Society Annual Meeting	"One of the challenges in designing resilient human-machine systems is that machine capabilities are inherently rigid. A resilient joint cognitive system can anticipate and adapt to changing work demands effectively, but limitations of machines can make this adaptation constrained and less fluid. By identifying and accommodating for these rigidities in the design of human-machine system architectures, developers can build human-machine systems that support multiple contexts. This paper proposes a work-modeling approach for analyzing joint human-machine work strategies, focusing on identifying interdependencies that would support opportunistic adaptation and reduce the risk of machine rigidity leading to brittle failures of a human-machine system. The approach is applied to a case study in space operations to demonstrate how interdependencies can be identified and evaluated. The results of this analysis provide early insight into how team adaptation and machine limitations can be systematically accounted for in system architecture design."	"Kathleen Albert and Martijn IJtsma (2021). Modeling the Effects of Machine Rigidities on Joint Work Strategies. In Proceedings of the Human Factors and Ergonomics Society Annual Meeting"	pub3	https://doi.org/10.1177/1071181321651246
2021-9-01	Requirements for Computational Approaches to Analyzing Resilience in Human-Machine Teams	Proceedings of the Human Factors and Ergonomics Society Annual Meeting	"Human-machine teams (HMTs) in complex work domains need to be able to adapt to variable and uncertain work demands. Computational modeling and simulation can provide novel approaches to the evaluation of HMTs performing complex joint activities, affording large-scale, quantitative analysis of team characteristics (such as system architecture and governance protocols) and their effects on resilience. Drawing from literature in resilience engineering, human-automation interaction, and cognitive systems engineering, this paper provides a theoretical exploration of the use of computational modeling and simulation to analyze resilience in HMTs. Findings from literature are summarized in a set of requirements that highlight key aspects of resilience in HMTs that need to be accounted for in future modeling and evaluation efforts. These requirements include a need to model HMTs as joint cognitive systems, the need to account for the interdependent nature of activity, the temporal dynamics of work, and the need to support formative exploration and inquiry. We provide a brief overview of existing modeling and simulation approaches to evaluating HMTs and discuss further steps for operationalizing the identified requirements."	"Jacob Keller and Martijn IJtsma (2021). Requirements for Computational Approaches to Analyzing Resilience in Human-Machine Teams. In Proceedings of the Human Factors and Ergonomics Society Annual Meeting"	pub4	https://doi.org/10.1177/1071181321651248
2022-1-01	Development of a Dynamic Model of Adaptation in Distributed Work Systems	AIAA SCITECH 2022 Forum	"Distributed work systems such as disaster response operations involve heterogeneous actors that need to coordinate to achieve a common goal. When operating in complex work domains, distributed work systems need to adapt their strategies and capabilities to meet varying and uncertain demands. Resilience engineering describes how distributed work systems respond to variable demands through managing adaptive capacity. This paper proposes a dynamic model of adaptation of a single unit of adaptive behavior in a distributed work system. The proposed model captures how managing one's adaptive capacity involves work, effort, and resources that can compete with efforts required to respond to immediate demands. The paper discusses the model and its theoretical foundations in the context of disaster response with unmanned aerial vehicles. Results from a simple numerical simulation experiment, examining three strategies for responding to increasing demands, illustrate how the model can be used to analyze dynamics of adaptation. Potential applications of this model are in research on complex, safety-critical operations, in which simulation can be used to analyze resilient control strategies, and operational settings, in which the models could be used in conjunction with operational data to better understand how adaptive capacity is managed."	"Stephanie E. Duros and Kenneth Cassidy and Martijn IJtsma and Joanne Lo (2022). Development of a Dynamic Model of Adaptation in Distributed Work Systems. In AIAA SCITECH 2022 Forum"	pub5	https://doi.org/10.2514/6.2022-0371
2021-01-01	Modeling Contingency Management in Unmanned Aircraft Systems Traffic Management	Proceedings of the 21st Symposium on Aviation Psychology	"Contingency management in future Unmanned Aerial Vehicles (UAVs) Traffic Management (UTM) requires a variety of distributed and interdependent functions and services—such as flight tracking and conformance monitoring, weather detection and prediction, and ground-based detection and avoidance— that need to be coordinated across multiple roles and organizations. This paper describes a combination of cognitive walkthroughs and computational modeling of work to analyze edge case scenarios and assess resiliency in future UTM operations. We discuss how the walkthrough and modeling inform each other and present early results. The ultimate goal of this work is to identify requirements for robust and resilient system responses in future UTM contingency management."	"Emily Barrett and Martijn IJtsma (2021). Modeling Contingency Management in Unmanned Aircraft Systems Traffic Management. In Proceedings of the 21st Symposium on Aviation Psychology"	pub6	https://corescholar.libraries.wright.edu/cgi/viewcontent.cgi?article=1008&context=isap_2021
2015-01-01	Computational Assessment of Different Air-Ground Function Allocations	Eleventh USA/Europe Air Traffic Management Research and Development Seminar	"NextGen and SESAR are redefining each agent's role in the airspace in terms of autonomy, authority and responsibility. Function allocation is the process of defining authority, i.e., which functions are executed by which agents. This is an essential design decision in creating transformative ATM concepts of operation. This paper presents a computational simulation methodology to assess function allocations in early design phases, before functional prototypes and HITL experiments can be developed. Thus, this method applies the same models of the functions regardless of which agent executes them, so that any observed effects can be isolated to the function allocation without confounds. A case study is presented in which ten potential function allocations within a new concept of operation were evaluated. A distinction is made between coherent and incoherent function allocations. The key metrics of the function allocations include the time history of each agent's task load and required information exchange with other agents. The results show that the coherency of a function allocation can have a pronounced effect on the amount of information requirements. The paper concludes with a discussion of how this method can be applied to other concepts of operation, and how this method can be used, after the early-in-design analysis described here, as an evolving computational analysis tool for more detailed evaluations using higher fidelity models."	"Martijn IJtsma and Jacco Hoekstra and Raunak P Bhattacharyya and Amy Pritchett (2015). Computational Assessment of Different Air-Ground Function Allocations. In Eleventh USA/Europe Air Traffic Management Research and Development Seminar"	pub7	http://homepage.tudelft.nl/7p97s/docs/ATMpaper_final_version.pdf
2020-1-01	An Experimental Refinement of Computational Models of Human-Robot Teams	AIAA Scitech 2020 Forum	"This work aims to investigate methods to effectively design human-robot teams using computational working and simulation paired with a human-in-the-loop experiment (HITL). This HITL relates human-robot teaming fluency metrics (human idle time, robot idle time, and concurrent activity) to perceived workload. We also present a computational simulation that is able to predict these fluency metrics. We modeled an on-orbit maintenance scenario where participants interacted with either a robot capable of fetching and inspecting or just inspecting. To mimic a real space scenario, we also tested the differences between having participants listen to all mission control commands and confirmations versus omitting this dialogue. We found that participants rated a robot capable of fetching as a significantly better teammate even if this caused a slower overall scenario with less work for themselves. Robot idle time and concurrent activity were good predictors of how participants perceived the robot. However, more human idle time did not always correlate to lower perceived workload. Computational predictions of the relative effects different work allocations were confirmed by the experiment. Further, bootstrapping analysis demonstrated how the computational models can be further improved from HITL results, both in terms of refining estimates of specific activities and in terms of identifying other important effects to incorporate, such as communication times and the time to transition between actions."	"Lanssie Ma and Sean C. Ye and Martijn IJtsma and Karen M. Feigh and Amy Pritchett (2020). An Experimental Refinement of Computational Models of Human-Robot Teams. In AIAA Scitech 2020 Forum"	pub8	https://arc.aiaa.org/doi/10.2514/6.2020-1650
2016-7-01	Computational Assessment of Authority and Responsibility in Air Traffic Concepts of Operation	Journal of Air Transportation	"This paper proposes a systematic approach to examine air traffic concepts of operation whose degree of innovation includes the potential for novel allocations of authority and responsibility between agents. The paper starts by demonstrating how concepts of operation can be modeled around the construct of actions, with accurate models of aircraft dynamics included as a common \{\textquotedblleft\}truth.\{\textquotedblright\} A case study is provided in this demonstration, examining merging and spacing of aircraft during arrival. Then, this paper discusses the specific fast-time computational simulation framework used here, and then applies the framework to the case study to illustrate how metrics of emergent behaviors can be collected via the simulation. Analysis of these metrics is framed within the construct of the coherence of the function allocation. Finally, the paper concludes with a discussion of further applications of this method of framing and analyzing concepts of operation, and further extensions to the method. This systematic, computational approach provides more definitive insights than a sole reliance on SMEs\{\textquoteright\} estimates or extrapolations of the merits and concerns with a concept of operations. Likewise, this approach can quickly test a wide range of concepts of operation. \n"	"Amy R. Pritchett and Raunak P. Bhattacharyya and Martijn IJtsma (2016). Computational Assessment of Authority and Responsibility in Air Traffic Concepts of Operation. In Journal of Air Transportation"	pub9	https://arc.aiaa.org/doi/10.2514/1.D0024
2018-3-01	Modelling and evaluating failures in human-robot teaming using simulation	2018 IEEE Aerospace Conference	"As robotic capabilities improve and robots become more capable as equal team members, better understanding of effective human-robot teaming is needed. In this paper, we investigate failures by robots in various team configurations in space EVA operations. Our case study highlights our methodology for simulating task failures within human-robot teams and their impact on metrics of human-robot teamwork. This paper describes the methodology of extending and application of Work Models that Compute (WMC), a computational simulation framework, to cover locomotion, to model robot failures, interruptions, and the resolutions they require. Using these models, we investigate how different team configurations respond to a robot’s failure to correctly complete the task and overall mission. We highlight different metrics that these failures impact on team performance through varying components of teaming and interaction that occur. Finally, we discuss the future implications of this work and the future work to be done to investigate function allocation in human-robot teams."	"Lanssie M. Ma and Martijn IJtsma and Karen M. Feigh and Abhinay Paladugu and Amy R. Pritchett (2018). Modelling and evaluating failures in human-robot teaming using simulation. In 2018 IEEE Aerospace Conference"	pub10	https://ieeexplore.ieee.org/document/8396581/
